Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
41,306,77.05,85.22,12.35,98.87,27.82,20.26,80.39,47.71,13.4,6.54,0.98,5.23,0.33,0,0,6.86,7.84,12.09,9.48,1.63,4.58,0.98,14.05,5.88,1.96,0.33,0.98,2.94,5.88,5.88,0,0,0,0,8.5,0,0,0,0,7.52,0,2.29,0.65,0.98,1.96,1.63,2.61,1.63,0.65,0.33,1.63,0.33,0,0.33,0.65,9.8,7.19,1.31,1.31,0.65,0,0.65,8.82,3.27,12.09,0.98,8.17,2.94,4.25,5.23,0.33,0.33,0,0,0.33,0,0,0.33,0,0,19.93,4.58,8.82,0.65,0,0.33,1.63,0.33,0,1.31,0,2.29
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,229,92.84,68.44,27.81,67.06,25.44,33.62,73.8,41.05,7.86,4.37,2.18,0,1.75,0.44,0,3.49,6.99,14.41,6.99,1.31,5.24,0,10.92,4.37,2.18,0.44,3.93,3.49,5.24,3.49,1.31,0.44,0,0.44,6.11,0,0,0,0.44,8.3,0.87,1.31,1.31,3.06,2.18,0.87,2.62,2.18,0,0.44,0.44,0.44,0,0,0,6.11,0.44,2.18,2.62,1.31,0.87,2.62,7.42,1.31,15.28,0.87,6.55,8.3,0.87,3.06,0,0.44,0,0,0,0,0,0,0,0,22.71,3.93,4.37,0.44,0.87,0,1.31,0.87,0,6.55,0.87,3.49
44,1021,72.23,54.3,47.77,92.03,17.6,16.75,81.49,49.46,12.44,7.64,4.31,0.69,1.57,0,1.08,4.8,6.95,14.2,9.21,4.8,5.88,1.08,15.77,5.09,3.04,0.88,5.78,3.23,4.31,4.21,0.1,0,0,0.1,7.54,0,0,0,0,8.33,1.18,0.98,0.69,2.45,1.08,3.33,2.25,1.18,0.59,0.2,0.78,0.29,0.1,0.1,0.29,6.56,1.47,1.96,1.47,2.45,0.1,3.33,10.09,2.45,12.54,1.76,5.88,4.8,5.58,3.72,0.1,0.69,0,0,0.98,0,0.1,0.39,0.49,0,27.03,8.03,4.41,0,0,0.88,0.2,1.96,0.39,6.27,1.76,3.13
45,134,86.24,38.25,26.12,68.05,33.5,16.42,76.12,43.28,11.19,6.72,5.22,0,0.75,0,0.75,4.48,5.97,14.93,3.73,2.99,7.46,0.75,10.45,4.48,1.49,0,2.99,3.73,2.24,2.24,0,0,0,0,2.99,0,0,0,0,5.97,1.49,0.75,1.49,0.75,1.49,0.75,5.97,2.99,1.49,1.49,0,0,0,0,0,2.99,0.75,0.75,0,2.24,0,0,11.19,0.75,11.19,2.24,5.97,2.99,0.75,4.48,0,0,0,0,2.24,0,1.49,0,0.75,0,23.88,5.22,5.22,0.75,0,1.49,0.75,1.49,0,0.75,0,8.21
46,1288,73.65,30.14,69.55,83.66,22.21,16.93,86.02,54.81,15.37,8.85,6.37,0,2.1,0,0.39,6.52,8.62,16.15,8,4.27,7.14,1.63,15.3,7.14,2.8,1.48,1.16,2.64,3.88,3.57,0.31,0.08,0,0,4.27,0,0.08,0,0,11.26,1.55,2.02,1.09,2.64,1.55,3.57,2.02,1.63,0.16,0.08,0.54,0.16,0.23,0,0.16,6.91,0.47,1.79,2.17,2.72,0.08,2.41,11.18,1.79,13.66,1.48,7.45,4.74,3.03,1.71,0.08,1.32,0,0,0.78,0,0.39,0.16,0.47,0.08,16.77,4.89,3.03,0,0,0.23,0.23,0.54,1.4,4.19,0.47,1.79
47,266,95.83,50,47.84,74.74,33.25,28.95,77.44,44.36,8.65,3.76,2.63,0,0,0,1.13,4.89,9.4,15.79,5.26,1.88,5.26,0.38,9.02,4.89,3.01,0.75,2.26,4.14,4.14,3.38,0.75,0.38,0,0,4.14,0.38,0,0.38,0,10.9,5.26,2.26,0.75,0.75,0.75,1.13,3.01,2.63,0,0.38,0,0,0,0,0,5.64,1.5,1.88,1.5,1.13,0,1.13,8.27,0,12.41,2.26,9.02,1.13,2.26,1.88,0,0.38,0,0,0.38,0,0,0,0.38,0,17.29,6.39,4.89,0,0,0,0.38,0,0.75,1.13,0,3.76
48,809,66.06,23.29,77.77,72.1,29.96,13.35,87.76,57.23,15.7,7.79,6.8,0.49,0,0.49,0,7.91,7.17,15.57,9.77,5.69,4.7,1.61,16.07,4.94,2.72,2.97,3.21,1.98,3.34,2.84,0.37,0,0,0.12,3.71,0.37,0,0.12,0.87,12.48,3.83,1.24,2.1,2.72,0.49,3.09,2.35,1.73,0.12,0.49,1.24,0.25,0.62,0.12,0.12,5.81,1.85,1.61,1.73,1.61,0.12,5.93,9.02,0.87,14.46,1.11,8.03,5.32,2.1,0.62,0.37,0.37,0,0,0,0,0,0,0,0,13.97,4.94,5.07,0,0,0,0,0,0.49,1.11,0,2.35
49,577,72.08,75.06,12.3,86.07,57.7,16.64,77.3,46.79,13,9.01,3.47,0.52,4.85,0.17,0,3.99,8.49,9.71,7.97,2.43,6.59,0.52,14.56,6.07,2.08,0.52,4.33,2.6,3.81,3.64,0.17,0,0.17,0,7.63,0,0.17,0,0.17,8.15,1.21,1.56,0.69,3.12,0.69,2.25,2.95,2.43,0.17,0.35,0,0,0,0,0,9.53,0.87,3.12,3.29,3.81,0,1.04,8.67,5.03,7.97,1.56,4.51,2.08,4.16,0.87,0.17,0.17,0,0,0.69,0,0,0.52,0.17,0,19.06,4.33,3.81,2.6,0,0.17,0.69,0.52,3.64,0,1.39,1.91
50,576,90.78,43.1,35.37,74.29,32,18.4,77.6,46.35,10.07,6.6,4.69,0.35,1.39,0,0.17,3.47,8.33,16.15,7.64,2.95,5.21,0.52,11.98,5.9,1.74,0.35,3.99,3.3,5.03,3.82,1.22,0.17,0.69,0.17,4.51,0.52,0,0,0.69,7.64,0.17,2.43,1.39,2.08,1.39,1.91,3.99,2.6,0.35,0.87,1.74,1.22,0.17,0.17,0.17,7.99,0.69,3.12,4.34,1.74,0,1.74,8.33,2.26,13.37,1.56,7.47,3.65,2.08,1.56,0,2.95,0.17,0.52,1.22,0.87,0,0,0.17,0,21.7,6.25,5.73,0.35,0,0,0.69,1.22,0.35,3.47,1.04,2.6
51,228,96.45,48.25,17.32,58.97,38,17.54,66.67,42.98,11.84,7.46,5.26,0,2.19,0,0,4.39,11.4,13.16,4.39,0.44,3.07,0,10.53,1.32,1.32,0.44,3.07,2.63,2.63,2.19,0.44,0,0.44,0,3.51,0,0,0,0,3.95,0.44,1.32,0.44,0.88,1.32,0.44,4.82,2.19,0,2.63,2.63,1.75,0,0.44,0.44,2.63,0.44,0.88,0.88,0.88,0,3.07,6.14,0.88,9.65,1.32,4.39,4.39,3.07,2.63,0,0.44,0,0,0.88,0.44,0.44,0,0,0,34.65,8.33,6.14,0.44,0,0,0.44,3.51,1.75,0.88,2.63,10.53
52,280,94.13,78.4,3.82,78.19,21.54,22.5,74.64,42.5,6.43,3.93,0,1.79,0,2.14,0,2.5,7.14,15.36,8.93,2.14,3.57,0,13.57,4.29,2.14,1.07,5.71,2.86,3.57,3.21,0.36,0,0,0.36,6.43,0,0,2.14,0,7.86,2.5,2.14,1.07,1.79,0.71,0.36,2.5,1.07,0.36,0.71,0.36,0,0.36,0,0,11.07,2.86,5.36,2.14,2.86,0.36,3.21,8.57,1.43,10.71,0.71,5.71,4.29,6.79,3.57,0.36,1.79,0,0,0,0,0,0,0,0,22.14,6.07,4.29,0,0,0,0.71,0.71,0.71,1.07,1.43,7.14
53,792,88.01,68.87,13.54,83.94,264,24.12,74.75,43.18,9.34,5.93,2.9,0.38,2.15,0.38,0.13,3.41,7.7,14.02,6.31,2.27,7.45,0.38,12.37,5.68,2.78,0.51,3.41,2.4,4.8,3.91,0.63,0.13,0.25,0.13,7.45,0.25,0.25,0,0.63,6.94,1.01,2.53,1.14,1.89,0.76,1.64,1.14,0.88,0.13,0,0.88,0.38,0.25,0,0.13,8.84,2.4,2.78,3.16,1.64,0.13,1.77,8.71,2.53,10.35,2.78,4.04,3.54,5.05,3.03,0.25,2.65,0.25,0.25,0.51,0.13,0.25,0.13,0,0,24.62,3.54,6.57,0.38,0,0,2.65,0.63,3.66,2.27,0.51,4.42
54,567,95.32,52.82,13.79,65.86,23.62,29.28,65.96,38.62,8.11,5.11,3.7,0.18,0.71,0.18,0.35,3,8.29,13.76,4.06,2.47,4.06,0.35,9.7,3.7,1.23,1.41,4.76,2.47,3.88,3,0.88,0.18,0,0.35,4.94,0,0,0,0.18,6.7,0.71,2.29,0.35,1.76,1.41,0.88,1.59,1.06,0.35,0.18,0.88,0.53,0,0,0.18,5.47,1.06,1.94,1.94,0.88,0,3.17,5.82,0.53,9.7,1.06,4.94,4.06,3.88,1.76,0,0.18,0,0.18,1.59,0.18,1.06,0.35,0,0,28.75,4.59,2.47,3.17,0,0,2.47,2.12,0.71,3,5.82,4.41
55,719,85.7,59.34,29.69,95,143.8,17.8,75.24,45.62,11.54,8.34,5.98,0.14,1.39,0.14,0.7,3.2,8.21,12.93,6.26,3.06,5.42,0.42,12.52,4.73,1.95,0.83,2.64,2.5,5.98,5.15,0.56,0.14,0.14,0.14,8.48,0.97,0.28,0.56,0.14,7.23,1.81,1.81,0.7,1.39,0.97,1.25,1.53,0.97,0.14,0.42,0.56,0.28,0.28,0,0,6.4,1.95,2.36,1.81,0.7,0,1.95,7.79,1.11,9.6,0.7,6.54,2.5,2.64,2.92,0.56,2.23,0,0,0.28,0,0,0.28,0,0,17.94,4.31,4.03,0.14,0.14,0,1.25,0.28,0,0,0.7,7.09
56,1076,81.06,94.79,4.74,97.41,22.89,23.14,77.79,42.47,10.41,7.34,0,4.28,1.3,0.84,0.93,3.07,6.23,12.08,6.23,3.35,6.23,0.28,12.27,3.81,1.67,0.84,2.32,3.25,5.95,5.58,0.37,0,0.19,0.09,12.08,0.09,0.56,0,1.12,8.36,2.32,1.58,1.21,2.42,0.65,1.12,2.32,1.3,0.84,0.19,1.12,0,0.65,0,0.28,12.08,6.13,2.23,2.88,2.14,0.19,1.58,8.55,2.42,9.57,1.12,5.11,3.44,3.53,4.09,0.37,0.93,0,0,3.07,0,2.23,0.37,0.37,0,28.62,5.76,4.18,0.28,0.09,0.93,2.23,3.44,0.19,1.77,1.39,8.36
57,545,85.2,52.2,23.66,42.41,54.5,16.7,81.83,51.19,10.83,5.5,2.94,0.92,1.28,0,0.37,5.32,10.09,14.31,9.72,3.49,5.14,1.1,15.78,5.87,2.75,1.47,1.47,2.39,4.59,2.75,1.83,0.37,0,0.73,4.59,0,0,0,0,8.26,1.28,2.02,1.28,1.28,0.92,2.02,6.42,4.77,0,1.47,0.73,0.37,0.18,0,0.18,5.69,1.47,0.92,1.28,1.83,0.55,0.92,11.38,1.47,11.74,1.1,7.16,3.49,2.75,1.1,0.18,0.73,0.18,0,1.1,0.18,0.18,0.55,0,0,18.53,3.3,6.06,0,0,0,0.55,0.55,0.73,2.75,3.49,1.1
58,2299,64.7,64.76,38.36,78.39,29.1,16.18,83.25,51.02,14.27,8.22,3.18,0.3,3.78,0,0.96,5.61,7.26,13.66,8.48,4.61,7.53,1.26,14.92,6.74,3.09,1.13,5.09,4.39,4.7,3.78,0.91,0.3,0.22,0,9.26,0.17,0.43,0.09,0.09,11.57,1.13,0.87,2.83,5,1.17,4.92,2.87,1.78,0.39,0.48,2.52,0.39,0.09,1.74,0.3,6.13,1.52,0.87,1.61,2.44,0.3,0.83,11.74,3.22,12.83,1.83,7.61,3.39,0.91,0.39,0.26,0.74,0.09,0.09,0.91,0.22,0.48,0.09,0.13,0,33.84,4.52,5.79,1.57,0.3,0.09,1.22,0.48,1.22,4.35,3.61,10.7
59,1073,82.09,63.49,38.18,94.87,31.56,18.36,84.72,49.21,11.93,7.64,3.91,0.19,2.33,0.47,0.75,4.29,7.36,14.91,6.62,4.66,5.87,0.84,12.86,4.75,1.77,0.93,1.86,2.42,4.85,4.66,0.09,0,0.09,0,7.83,0.09,0.47,0,0.56,10.16,1.77,2.33,1.03,2.52,1.68,1.96,2.42,1.3,0.65,0.28,1.49,0.28,0.37,0,0.84,6.34,2.24,1.58,2.14,1.21,0.09,2.7,7.83,1.96,13.05,1.96,6.43,4.75,3.63,4.01,0.28,2.33,0,0,0.47,0.19,0.09,0.09,0.09,0,81.64,15.56,6.15,1.4,0,0,5.41,0.56,2.89,0.84,1.58,47.25
60,144,89.71,55.52,58.07,77,24,21.53,82.64,53.47,14.58,8.33,4.86,0,1.39,0,2.08,6.25,8.33,20.14,4.86,4.86,6.94,0,12.5,4.86,4.17,0.69,0.69,2.08,2.78,2.78,0,0,0,0,5.56,0,0,0,0,9.03,0.69,2.08,0.69,4.86,0,0.69,4.17,4.17,0,0,0,0,0,0,0,6.94,0,0,3.47,3.47,0,1.39,7.64,2.78,16.67,0.69,10.42,5.56,2.08,2.08,0,0.69,0,0,0,0,0,0,0,0,11.81,4.86,1.39,0,0,0,0.69,0,0,2.08,0,2.78
61,177,39.31,47.74,31.33,68.43,16.09,11.86,84.75,56.5,22.03,13.56,7.91,0,5.65,0,0,8.47,7.34,11.86,11.3,3.95,4.52,1.69,19.77,6.21,3.39,0.56,2.26,2.26,2.26,2.26,0,0,0,0,7.91,0,0,0,0,11.3,1.13,1.69,3.95,2.82,0,4.52,2.26,1.69,0,0.56,0,0,0,0,0,5.08,0.56,1.13,0,3.95,0,1.69,15.25,5.08,8.47,1.13,3.39,3.95,2.26,2.26,0,1.13,0,0,0,0,0,0,0,0,24.29,5.65,5.65,0.56,0,0,2.82,0.56,2.82,4.52,1.13,0.56
62,654,59.52,35.1,49.65,78.9,18.69,19.57,87.46,52.91,11.77,6.12,5.5,0,0.46,0,0.15,5.66,6.42,14.22,10.24,6.12,7.95,1.68,16.67,4.13,1.83,0.92,2.14,2.91,4.59,3.36,0.46,0,0.15,0.15,4.59,0,0,0.46,0.15,9.33,1.53,1.53,1.07,2.29,1.53,1.68,3.98,3.82,0.15,0,0.31,0.31,0,0,0,6.73,0.46,3.36,1.68,1.68,0.31,3.82,11.16,2.14,13.3,1.22,5.66,6.73,5.2,3.21,0.31,1.07,0,0,0.46,0,0,0.15,0.31,0,15.29,5.05,5.35,0,0,0,1.22,0.76,0.31,2.45,0,0.15
63,741,47.65,28.54,81.82,75.8,32.22,18.49,89.88,54.52,17.14,10.8,8.64,0,1.48,0,0.67,6.34,5.8,13.36,8.37,3.78,9.72,1.48,15.92,5.53,4.05,2.83,2.29,4.59,2.7,2.7,0,0,0,0,6.75,0.13,0.67,0,0,14.71,4.45,1.48,1.48,4.45,1.75,3.78,2.16,0.81,0.13,0.54,1.08,0.13,0.67,0,0.13,5.94,1.89,2.16,1.21,1.35,0,0.94,11.47,2.83,11.07,1.89,5.67,3.37,5.8,1.89,0.13,2.02,0.27,0,0.13,0,0,0,0.13,0,21.59,4.05,8.5,1.08,0.4,0.4,0,0.4,0.27,2.29,1.62,2.56
64,565,69.27,87.86,10.43,91.69,28.25,18.23,86.19,53.63,12.74,6.9,1.24,2.65,1.95,0.18,0.88,5.49,8.14,14.51,10.8,4.96,6.9,0.71,16.46,4.07,2.12,1.95,1.77,4.78,4.42,4.25,0.18,0,0,0,11.68,0,0.18,0,0.35,13.81,1.06,3.01,2.65,4.96,2.3,2.65,1.06,0.35,0.71,0,0.53,0,0.18,0,0,9.56,3.89,1.95,2.48,2.65,0.18,2.65,10.27,2.3,11.33,0.53,6.73,4.07,3.89,2.12,0,1.59,0,0.18,0.71,0,0.18,0.18,0.18,0.35,18.05,3.72,6.37,0,0,1.06,0.53,1.59,0,2.65,0.35,1.77
65,258,87.12,86.11,17.97,95.29,25.8,25.19,77.91,46.51,12.79,9.69,3.49,0,3.88,1.16,1.16,3.1,9.69,11.63,5.43,1.94,5.43,0.39,8.53,3.49,1.94,0.78,2.71,2.71,6.2,5.43,0.78,0.39,0,0,12.02,0,0.78,1.16,0,8.53,1.55,1.16,0.78,2.71,2.33,1.16,1.94,0.78,0.78,0.39,1.94,0.78,0,0,0,8.91,1.55,2.33,3.88,2.33,0,1.16,9.69,0.39,11.24,2.33,5.04,4.65,1.94,1.94,0,0,1.94,0,1.16,0,1.16,0,0,0,19.77,5.04,4.26,1.16,0,0,0.78,2.71,1.55,2.33,0.78,1.16
66,1821,94.56,66.19,11.11,93.55,44.41,28.61,60.96,32.24,6.86,4.28,1.81,0.71,1.54,0.16,0.05,2.58,6.21,11.15,3.29,1.43,3.24,0.55,5.66,4.28,1.81,0.44,5.66,2.47,4.5,4.39,0.05,0,0,0.05,5.6,0.05,0.55,0.05,0.16,5.22,1.21,0.88,0.38,0.93,1.15,1.32,0.82,0.6,0.05,0.05,0.88,0.16,0.05,0.49,0.11,6.15,1.7,2.97,1.92,1.81,0.05,1.65,3.73,0.88,9.88,1.7,4.94,4.5,3.4,4.39,0.49,1.1,0.11,0,0.27,0,0.16,0,0.11,0,23.67,4.01,2.91,2.09,0,0,0.16,2.2,1.1,0.6,2.58,8.02
67,231,69.35,39.74,34.54,86.03,19.25,21.21,69.7,45.89,6.93,4.33,1.73,0,0.87,0.43,1.3,2.6,6.06,11.69,12.99,2.6,7.36,1.3,16.02,3.46,1.73,0,5.19,2.16,4.33,3.9,0.43,0,0,0.43,3.9,0,0,0.43,0,9.96,2.6,0.43,0.43,3.9,0.43,4.33,0,0,0,0,0,0,0,0,0,2.6,0.43,0.87,0.43,1.73,0,2.16,10.82,3.46,10.82,2.16,6.49,2.16,4.33,3.03,0.43,0.43,0,0,0.87,0,0.87,0,0,0,21.21,7.79,3.46,0.87,0,0,1.3,0.87,0,0.87,2.16,3.9
68,759,93.69,43.72,17.59,58.17,16.87,24.9,65.48,39.53,8.43,5.4,3.95,0,1.05,0.13,0.26,3.03,9.35,12.91,5.01,3.16,3.82,0.92,10.67,3.95,2.11,1.19,5.27,2.37,3.29,2.5,0.79,0,0.13,0.53,3.82,0,0,0,0.26,8.43,1.05,2.9,0.4,1.84,1.45,1.45,1.32,0.79,0.4,0.13,0.4,0.26,0,0,0,5.14,0.4,2.37,1.84,0.66,0.13,3.43,5.53,0.92,9.49,1.19,5.14,3.69,3.43,1.58,0.13,0.13,0.4,0.13,1.84,0.13,1.45,0.4,0,0,35.31,5.4,2.9,3.43,0,0,3.29,2.37,0.53,4.87,6.32,6.19
69,515,81.85,52.33,38.34,55.03,42.92,20.19,85.63,49.71,12.04,7.96,4.66,0.19,2.33,0,0.78,4.08,7.18,15.15,8.35,3.11,6.6,0,15.34,5.44,2.14,0.97,1.94,3.69,5.05,3.3,1.75,0,0.58,0.58,6.21,0,0,0,0,13.4,2.52,2.91,2.91,4.27,1.55,3.11,3.11,1.94,0,1.17,0.97,0.58,0.19,0,0,7.18,0.97,2.52,2.72,1.36,0.19,1.94,10.29,2.72,11.84,1.17,6.41,4.47,3.88,2.91,0.19,0.58,0,0,1.36,0.39,0.39,0.19,0.39,0,15.73,3.69,6.21,0.39,0,0.19,0.78,0.39,0,0.58,2.33,1.17
70,825,90.15,87.77,9.39,95.65,39.29,23.15,76.61,47.76,11.52,7.03,0.36,3.39,1.58,0.97,0.73,4.48,8.24,15.64,6.18,2.55,5.58,0.48,10.18,4.97,1.82,0.36,3.76,1.7,4.85,4.73,0,0,0,0,9.33,0,0.12,0,0.97,8.24,1.94,2.06,0.85,1.45,1.09,1.82,1.82,1.33,0.24,0.12,0.12,0,0,0,0,9.58,4.73,2.67,2.55,0.85,0,1.94,6.42,1.94,10.79,0.73,5.7,4.48,4.48,1.94,0.12,0.73,0.61,0.12,0.12,0,0,0.12,0,0,15.27,4.61,4.12,0.36,0,0.12,1.21,0.61,0.36,0.61,0,3.27
71,918,71.03,88.87,16.44,64.99,24.81,16.99,73.64,48.04,12.85,7.73,0.22,3.92,2.94,0,0.65,5.12,6.21,12.09,8.39,2.29,6.97,0.54,12.64,4.68,1.2,0.98,3.7,4.03,3.81,2.94,0.87,0,0,0.33,9.59,0,0,0,0,9.59,1.31,1.53,1.63,2.83,1.96,3.49,2.4,1.42,0,0.98,0.44,0,0,0,0.22,12.53,4.47,2.51,3.05,2.51,1.09,1.85,7.52,3.05,11.76,0.65,8.28,3.05,2.61,1.09,0.11,1.42,0,0,0.33,0,0.33,0,0,0,20.48,4.03,5.12,1.63,0,0.22,2.29,0.87,2.51,0.44,1.96,1.42
72,206,54.46,84.61,18.11,99,14.71,19.9,83.98,49.51,17.96,12.62,6.8,0,3.4,0,2.43,5.34,4.85,12.14,7.28,2.91,7.77,0,15.53,2.91,3.4,0.97,2.43,0.97,9.71,9.71,0,0,0,0,15.53,0,0.97,1.94,1.94,11.65,3.88,2.91,2.43,3.4,0,1.94,1.46,0.49,0,0.97,0.97,0.97,0,0,0,6.8,3.88,2.43,0.49,0.97,0,0.97,12.62,0.97,5.34,0.97,3.4,0.97,1.46,1.94,0,0.49,0.97,0,0.97,0,0.49,0.49,0,0,22.33,7.77,3.88,1.46,0,0,0.97,3.88,0,1.46,0.97,1.94
73,253,16.05,54.71,47.02,82.41,23,7.51,91.7,60.87,22.53,15.02,8.3,0,6.72,0,0,7.51,4.35,11.07,11.46,6.32,5.93,3.56,19.37,3.56,1.58,2.77,1.19,3.95,3.56,3.16,0,0,0,0,10.67,0,0,0,0,15.42,2.77,1.98,1.98,3.16,1.98,4.35,1.58,0.79,0.79,0,2.77,2.77,0,0,0,5.93,0.79,1.19,1.19,3.16,0,1.19,17,1.58,7.11,0.79,4.35,1.98,3.56,4.74,0,0.4,0,0,2.37,0,0,0.79,1.19,0.4,19.37,7.51,3.95,0,0,3.56,0,0.4,0,1.98,0,1.98
74,631,78.39,25.78,61.94,52.53,157.75,18.7,84.15,48.02,11.89,9.03,8.87,0.16,0,0,0,2.85,7.61,12.52,6.81,3.17,7.13,0.63,14.26,3.96,1.43,0.95,3.96,3.17,5.86,3.65,2.22,0,0.48,1.74,4.91,0.79,0.16,0.63,0.48,7.92,1.43,2.06,1.58,1.9,0.63,2.06,1.74,0.95,0.48,0.32,0.95,0,0.95,0,0,8.08,1.9,3.01,1.58,2.85,0.16,4.28,8.08,2.69,12.04,1.11,5.71,5.39,2.54,4.91,0,3.17,0,0.16,0.79,0,0.32,0.32,0.16,0,34.87,10.46,4.28,0.48,0.16,0,0.32,0,0.63,3.33,1.27,13.95
75,284,93.17,37.56,55.5,82.5,25.82,20.07,83.8,49.3,9.15,6.69,5.63,0,0.7,0,0.35,2.46,9.86,15.14,6.69,2.82,5.63,0.35,12.32,4.58,1.06,0.35,3.87,3.17,3.87,3.52,0.35,0,0,0.35,4.58,0.35,0,0.35,0.35,7.39,1.06,2.11,0.7,2.11,1.06,2.46,2.11,1.06,0.35,0.7,1.06,0.35,0.35,0,0.35,6.34,0.7,3.52,1.76,1.41,0,1.41,9.15,3.17,13.38,2.11,6.69,5.28,2.82,1.76,0.35,0,6.34,0,0,0,0,0,0,0,15.49,5.28,5.28,0,0,0,0.7,0.7,0,0,2.11,1.41
76,474,61.38,81.79,38.18,99,24.95,21.52,81.43,48.1,14.14,9.92,3.8,0.63,4.22,0.42,0.84,4.22,5.06,13.5,8.23,5.06,6.54,1.05,14.98,4.43,1.69,1.05,1.69,1.9,7.59,7.17,0.42,0.21,0.21,0,11.81,0,0.84,0.42,0,9.92,1.05,2.32,1.9,3.16,1.48,2.74,1.9,0.63,0.21,0.42,1.48,0.63,0,0.21,0.42,8.23,3.38,2.32,2.74,1.27,0,1.27,11.6,1.9,13.92,2.74,7.59,4.22,1.9,1.27,0.63,0.42,0,0,1.48,0,1.05,0,0.42,0,24.26,4.85,4.22,1.9,0,0.42,1.05,1.27,0.42,5.91,1.27,2.95
77,272,94.45,51.47,6.2,53.41,17,28.31,61.03,33.82,5.51,3.31,2.57,0,0.37,0,0.37,2.21,5.88,13.24,4.78,2.57,4.04,0.37,10.29,4.04,0.74,1.1,6.99,2.94,3.68,2.57,1.1,0,0.74,0.37,3.31,0,0,0.74,0,6.62,1.1,2.94,0,0.74,1.47,0.37,0.74,0.37,0.37,0,0,0,0,0,0,8.09,0,4.04,4.04,0.37,0.37,3.68,5.15,0.74,7.72,0.74,4.41,2.57,3.31,1.1,0.37,0,2.94,0,0,0,0,0,0,0,29.41,4.78,4.41,3.68,0,0,3.68,2.57,0.74,0.74,0.74,8.09
78,304,97.04,60.39,6.36,50.32,50.67,25,63.82,34.21,4.28,1.64,0,0.66,0.66,0,0.33,2.63,5.26,15.46,3.29,1.32,5.92,0,8.22,4.28,1.64,0.33,5.92,3.95,4.61,2.96,1.64,0.33,0.33,0.33,2.3,0,0,0,0,5.26,0.66,0.66,0.66,0.33,1.97,0.99,2.96,2.3,0,0.33,1.32,0.99,0.33,0,0,10.2,1.32,4.61,2.96,4.93,0.33,0.99,4.93,1.64,10.86,1.32,7.89,1.64,2.96,0.66,0,1.32,0,0.66,0.66,0,0.66,0,0,0,25.66,2.96,6.25,0.33,0,0,0.99,2.63,0.66,0.33,3.95,7.57
79,466,86.36,56.83,12.72,77.18,29.12,18.67,83.48,51.5,11.16,7.08,3.43,0,2.15,1.5,0,4.08,10.94,14.38,7.73,2.79,7.94,0.86,11.8,6.44,3.65,1.5,1.93,3.43,4.08,3.43,0.64,0.21,0,0,6.44,0,0,0,1.5,9.44,0.86,1.93,1.93,3,1.5,2.58,2.79,2.15,0,0.64,1.07,0.43,0.64,0,0,6.01,0.64,2.15,2.58,1.72,0.43,2.58,7.94,1.72,10.73,1.5,5.79,4.08,4.94,2.15,0.21,2.15,0.21,0,0.21,0,0.21,0.21,0,0,18.67,3.86,4.29,0.43,0.21,0.86,1.5,0.21,0.86,3.86,0.43,2.15
80,1629,71.12,53.93,40.26,80.33,23.96,17.31,81.58,50.58,14.18,7.92,4.48,0.25,2.03,0.06,1.1,6.26,8.29,13.2,8.23,4.42,6.69,0.68,15.35,5.03,2.64,1.41,3.87,4.3,4.54,3.74,0.74,0.06,0.25,0.25,7.18,0.06,0.18,0.18,0.25,10.99,1.17,1.72,1.84,3.5,1.66,3.25,1.78,0.92,0.25,0.55,0.68,0.37,0,0,0.06,7.18,0.98,2.64,1.78,2.7,0.31,2.03,10.62,2.33,12.52,1.96,7.18,3.93,3.25,1.66,0.25,1.35,0.12,0,0.37,0.06,0.12,0.12,0.06,0,33.27,5.83,5.59,0.12,0,0.61,0.43,10.37,1.23,3.87,1.23,3.99
81,702,93.88,66.04,7.25,63.58,41.29,20.51,78.49,41.88,7.41,4.27,1.42,0.14,2.14,0.14,0.43,3.13,10.26,12.68,4.84,2.85,5.84,0.85,10.97,4.42,1.99,0.57,3.13,2.42,6.84,4.42,2.42,0,0,0,8.12,0.28,0.14,0,0.28,6.84,0.85,1,0.43,2.14,1.42,1.71,1.99,0,0.85,1.14,0.57,0.28,0,0,0.14,8.4,1.99,2.71,2.56,2.14,0,2.85,6.55,1,8.83,0.43,4.42,4.42,5.56,4.56,0.14,1.71,0,0,2.71,2.28,0.14,0.28,0,0,26.64,4.13,5.13,0.43,0,0.14,0.57,2.28,1.71,1.14,3.99,7.12
